scan_date,analysis_date,ticker,action,confidence,free_tier,halt,entry_bid,stop_loss,target,momentum,chip_analysis,risk_factors,data_quality_flags
2026-03-26,2026-03-25,2303,CAUTION,30,True,False,58.8,59.1,72.77,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2454,CAUTION,0,True,False,1611.9,1620.0,2073.75,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2330,CAUTION,25,True,False,1835.78,1845.0,2126.25,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2408,CAUTION,5,True,False,225.37,226.5,312.9,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2344,CAUTION,0,True,False,97.71,98.2,135.97,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,3711,CAUTION,25,True,False,350.24,352.0,413.7,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2317,CAUTION,5,True,False,199.0,200.0,266.18,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2382,CAUTION,25,True,False,283.57,285.0,317.1,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,6669,CAUTION,25,True,False,3741.2,3760.0,4536.0,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,3231,CAUTION,5,True,False,127.36,128.0,146.47,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2357,CAUTION,0,True,False,562.17,565.0,634.2,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2353,CAUTION,0,True,False,26.96,27.1,30.92,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2308,WATCH,55,True,False,1542.25,1550.0,1632.75,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2881,CAUTION,25,True,False,88.36,88.8,99.86,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2356,CAUTION,20,True,False,42.69,42.9,49.09,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2324,CAUTION,0,True,False,31.34,31.5,35.18,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2379,WATCH,55,True,False,486.56,489.0,515.02,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2882,CAUTION,5,True,False,71.04,71.4,84.21,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2891,CAUTION,25,True,False,52.54,52.8,59.22,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2886,CAUTION,25,True,False,38.95,39.15,43.0,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,1301,CAUTION,0,True,False,45.42,45.65,57.54,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2609,CAUTION,5,True,False,53.43,53.7,73.4,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2603,CAUTION,5,True,False,204.97,206.0,233.62,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2884,CAUTION,25,True,False,31.94,32.1,37.27,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2409,CAUTION,0,True,False,14.93,15.0,18.9,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,2002,CAUTION,25,True,False,19.2,19.3,22.31,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,3481,CAUTION,0,True,False,25.52,25.65,34.96,,,,NO_BROKER_DATA
2026-03-26,2026-03-25,1303,CAUTION,0,True,False,75.62,76.0,101.33,,,,NO_BROKER_DATA
