scan_date,analysis_date,ticker,name,market,industry,grade,score,vol_ratio,close_strength,day_chg_pct,gap_pct,surge_day,industry_rank_pct,rsi,inst_consec_days,score_breakdown,flags
2026-05-04,2026-05-04,6485,點序,TPEx,半導體業,SURGE_ALPHA,84,2.38,1.0,9.91,4.14,1,87.9,56.6,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.38x|CLOSE_STRONG:1.00|IND_HOT:88|POCKET_PIVOT|GAP_FULL:4.1%|RS:+10.9%|BREAKOUT_20D:87.60>86.00|RSI_HEALTHY:56.6
2026-05-04,2026-05-04,2465,麗臺,TSE,電腦及週邊設備業,SURGE_ALPHA,79,2.4,0.8,5.71,4.29,1,100.0,72.8,0,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.40x|CLOSE_HEALTHY:0.80|IND_HOT:100|POCKET_PIVOT|GAP_FULL:4.3%|RS:+6.7%|BREAKOUT_20D:74.00>73.00|RSI_HOT:72.8|MARGIN_COOL:11.4%
2026-05-04,2026-05-04,2417,圓剛,TSE,電腦及週邊設備業,SURGE_ALPHA,78,9.64,1.0,9.91,9.79,2,100.0,65.4,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:9.64x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_FULL:9.8%|RS:+10.9%|BREAKOUT_20D:47.15>43.50|RSI_HEALTHY:65.4|MARGIN_HOT:15.7%
2026-05-04,2026-05-04,6937,天虹,TSE,半導體業,SURGE_ALPHA,76,2.53,1.0,9.97,1.66,1,87.9,59.5,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.53x|CLOSE_STRONG:1.00|IND_HOT:88|POCKET_PIVOT|GAP_FULL:1.7%|RS:+10.9%|RSI_HEALTHY:59.5|MARGIN_COOL:13.9%
2026-05-04,2026-05-04,5443,均豪,TPEx,半導體業,SURGE_ALPHA,75,2.53,0.71,6.15,2.87,1,87.9,55.7,0,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.53x|CLOSE_HEALTHY:0.71|IND_HOT:88|POCKET_PIVOT|GAP_PARTIAL:2.9%|RS:+7.1%|BREAKOUT_20D:129.50>126.00|RSI_HEALTHY:55.7
2026-05-04,2026-05-04,3088,艾訊,TPEx,電腦及週邊設備業,SURGE_ALPHA,74,2.24,0.7,6.4,3.45,1,100.0,76.8,0,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.24x|CLOSE_HEALTHY:0.70|IND_HOT:100|POCKET_PIVOT|GAP_FULL:3.4%|RS:+7.4%|BREAKOUT_20D:108.00>105.00|RSI_HOT:76.8
2026-05-04,2026-05-04,2467,志聖,TSE,電子零組件業,SURGE_ALPHA,72,1.7,1.0,9.93,2.17,2,93.9,58.4,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_MILD:1.70x|CLOSE_STRONG:1.00|IND_HOT:94|POCKET_PIVOT|GAP_FULL:2.2%|RS:+10.9%|RSI_HEALTHY:58.4|MARGIN_COOL:7.8%
2026-05-04,2026-05-04,3029,零壹,TSE,資訊服務業,SURGE_ALPHA,71,3.43,0.84,7.03,1.36,1,69.7,42.2,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.43x|CLOSE_STRONG:0.84|IND_WARM:70|POCKET_PIVOT|GAP_FULL:1.4%|RS:+8.0%|BREAKOUT_20D:102.00>99.80|RSI_WEAK:42.2|MARGIN_COOL:8.1%
2026-05-04,2026-05-04,4576,大銀微系統,TSE,電機機械,SURGE_ALPHA,68,2.43,1.0,9.9,-1.98,1,90.9,72.5,0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.43x|CLOSE_STRONG:1.00|IND_HOT:91|POCKET_PIVOT|RS:+10.9%|BREAKOUT_20D:222.00>215.00|RSI_HOT:72.5|MARGIN_HOT:18.1%
2026-05-04,2026-05-04,2455,全新,TSE,通信網路業,SURGE_ALPHA,67,1.85,1.0,9.97,1.58,1,84.8,57.5,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.85x|CLOSE_STRONG:1.00|IND_HOT:85|POCKET_PIVOT|GAP_FULL:1.6%|RS:+10.9%|RSI_HEALTHY:57.5|MARGIN_HOT:18.9%
2026-05-04,2026-05-04,1722,台肥,TSE,化學工業,SURGE_ALPHA,66,12.22,0.57,4.11,4.72,2,97.0,62.2,0,"{""vol_ratio"": 5, ""close_strength"": 2, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:12.22x|CLOSE_SOFT:0.57|IND_HOT:97|POCKET_PIVOT|RS:+5.1%|BREAKOUT_20D:50.70>48.70|RSI_HEALTHY:62.2|MARGIN_COOL:1.8%
2026-05-04,2026-05-04,3167,大量,TSE,電機機械,SURGE_ALPHA,65,2.78,0.68,5.77,0.49,1,90.9,70.1,0,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.78x|CLOSE_HEALTHY:0.68|IND_HOT:91|POCKET_PIVOT|RS:+6.7%|BREAKOUT_20D:861.00>816.00|RSI_HOT:70.1|MARGIN_HOT:41.4%
2026-05-04,2026-05-04,6218,豪勉,TPEx,通信網路業,SURGE_ALPHA,65,6.23,0.63,4.71,0.0,2,84.8,60.0,0,"{""vol_ratio"": 5, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:6.23x|CLOSE_HEALTHY:0.63|IND_HOT:85|POCKET_PIVOT|RS:+5.7%|BREAKOUT_20D:41.15>39.30|RSI_HEALTHY:60.0
2026-05-04,2026-05-04,6823,濾能,TPEx,半導體業,SURGE_ALPHA,64,3.92,0.65,5.22,2.39,2,87.9,77.8,0,"{""vol_ratio"": 5, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.92x|CLOSE_HEALTHY:0.65|IND_HOT:88|POCKET_PIVOT|GAP_PARTIAL:2.4%|RS:+6.2%|BREAKOUT_20D:96.80>92.00|RSI_HOT:77.8
2026-05-04,2026-05-04,2233,宇隆,TSE,汽車工業,SURGE_ALPHA,61,4.94,1.0,9.89,0.73,2,78.8,79.2,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:4.94x|CLOSE_STRONG:1.00|IND_WARM:79|POCKET_PIVOT|GAP_PARTIAL:0.7%|RS:+10.8%|BREAKOUT_20D:300.00>274.50|RSI_HOT:79.2|MARGIN_HOT:55.6%
2026-05-04,2026-05-04,2486,一詮,TSE,光電業,SURGE_ALPHA,58,3.78,0.79,6.71,1.78,2,75.8,87.3,0,"{""vol_ratio"": 5, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 4, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.78x|CLOSE_HEALTHY:0.79|IND_WARM:76|POCKET_PIVOT|GAP_PARTIAL:1.8%|RS:+7.7%|BREAKOUT_20D:270.50>253.50|RSI_HOT:87.3|MARGIN_HOT:36.2%
2026-05-04,2026-05-04,3498,陽程,TPEx,其他電子業,SURGE_ALPHA,55,1.56,1.0,9.9,2.76,1,72.7,44.6,0,"{""vol_ratio"": 6, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.56x|CLOSE_STRONG:1.00|IND_WARM:73|POCKET_PIVOT|GAP_FULL:2.8%|RS:+10.9%|RSI_WEAK:44.6
2026-05-04,2026-05-04,4991,環宇-KY,TPEx,半導體業,SURGE_BETA,52,3.52,1.0,9.92,4.72,2,87.9,60.0,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 0, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.52x|CLOSE_STRONG:1.00|IND_HOT:88|GAP_FULL:4.7%|RS:+10.9%|RSI_HEALTHY:60.0
2026-05-04,2026-05-04,5299,杰力,TPEx,半導體業,SURGE_BETA,52,3.52,1.0,9.92,4.72,2,87.9,60.0,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 0, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.52x|CLOSE_STRONG:1.00|IND_HOT:88|GAP_FULL:4.7%|RS:+10.9%|RSI_HEALTHY:60.0
2026-05-04,2026-05-04,2892,第一金,TSE,金融保險業,SURGE_BETA,49,4.09,0.92,1.05,-0.88,1,63.6,38.8,0,"{""vol_ratio"": 5, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.09x|CLOSE_STRONG:0.92|IND_WARM:64|POCKET_PIVOT|RS:+2.0%|RSI_WEAK:38.8|MARGIN_COOL:0.5%
