scan_date,analysis_date,ticker,name,market,grade,score,bb_pct,vol_ratio,consol_range_pct,inst_consec_days,weeks_consolidating,vs_60d_high_pct,score_breakdown,flags
2026-04-17,2026-04-16,3045,台灣大,TSE,COIL_EARLY,47,0.0,1.01,1.9,0,4,0.0,"{""bb_compression"": 20, ""volume_dryup"": 0, ""consolidation_range"": 15, ""atr_contraction"": 10, ""inside_bars"": 5, ""ma_convergence"": 10, ""obv_trend"": 0, ""kd_low_flat"": 0, ""close_above_midline"": 5, ""inst_consec"": 0, ""inst_net_trend"": 0, ""updown_volume"": 0, ""market_strength"": 0, ""proximity_resistance"": 5, ""prior_advance"": 0}",ACCUM_GATE_PASS|ACCUM_BB_PCT:0|ACCUM_VOL_RATIO:1.01|ACCUM_RANGE:1.9PCT|ACCUM_ATR_PCT:0|ACCUM_INSIDE_BARS:5|ACCUM_MA_GAP:0.4PCT|ACCUM_ABOVE_MIDLINE|ACCUM_VS_HIGH:0.0PCT
2026-04-17,2026-04-16,6170,統振,TPEx,COIL_EARLY,47,17.0,0.56,6.7,0,4,-4.65,"{""bb_compression"": 10, ""volume_dryup"": 15, ""consolidation_range"": 8, ""atr_contraction"": 5, ""inside_bars"": 2, ""ma_convergence"": 10, ""obv_trend"": 8, ""kd_low_flat"": 0, ""close_above_midline"": 0, ""inst_consec"": 0, ""inst_net_trend"": 0, ""updown_volume"": 8, ""market_strength"": 0, ""proximity_resistance"": 5, ""prior_advance"": 0}",ACCUM_GATE_PASS|ACCUM_BB_PCT:17|ACCUM_VOL_DRYUP:0.56|ACCUM_RANGE:6.7PCT|ACCUM_ATR_PCT:21|ACCUM_INSIDE_BARS:2|ACCUM_MA_GAP:0.5PCT|ACCUM_OBV_RISING|ACCUM_UP_VOL_DOMINATES|ACCUM_VS_HIGH:-4.6PCT
2026-04-17,2026-04-16,2385,群光,TSE,COIL_EARLY,38,40.0,0.75,7.6,0,8,-1.18,"{""bb_compression"": 0, ""volume_dryup"": 8, ""consolidation_range"": 8, ""atr_contraction"": 5, ""inside_bars"": 0, ""ma_convergence"": 10, ""obv_trend"": 8, ""kd_low_flat"": 0, ""close_above_midline"": 5, ""inst_consec"": 0, ""inst_net_trend"": 0, ""updown_volume"": 8, ""market_strength"": 0, ""proximity_resistance"": 5, ""prior_advance"": 0}",ACCUM_GATE_PASS|ACCUM_BB_PCT:40|ACCUM_VOL_DRYUP:0.75|ACCUM_RANGE:7.6PCT|ACCUM_ATR_PCT:27|ACCUM_MA_GAP:1.8PCT|ACCUM_OBV_RISING|ACCUM_ABOVE_MIDLINE|ACCUM_UP_VOL_DOMINATES|ACCUM_VS_HIGH:-1.2PCT
2026-04-17,2026-04-16,3715,定穎投控,TSE,COIL_EARLY,35,29.0,0.5,26.4,0,4,-8.35,"{""bb_compression"": 10, ""volume_dryup"": 15, ""consolidation_range"": 0, ""atr_contraction"": 0, ""inside_bars"": 0, ""ma_convergence"": 10, ""obv_trend"": 0, ""kd_low_flat"": 0, ""close_above_midline"": 5, ""inst_consec"": 0, ""inst_net_trend"": 0, ""updown_volume"": 8, ""market_strength"": 0, ""proximity_resistance"": 0, ""prior_advance"": 5}",ACCUM_GATE_PASS|ACCUM_BB_PCT:29|ACCUM_VOL_DRYUP:0.50|ACCUM_RANGE:26.4PCT|ACCUM_ATR_PCT:92|ACCUM_MA_GAP:1.8PCT|ACCUM_ABOVE_MIDLINE|ACCUM_UP_VOL_DOMINATES|ACCUM_VS_HIGH:-8.4PCT|ACCUM_PRIOR_ADVANCE:42PCT
2026-04-17,2026-04-16,6121,新普,TPEx,COIL_EARLY,35,13.0,1.0,6.8,0,5,-6.06,"{""bb_compression"": 20, ""volume_dryup"": 0, ""consolidation_range"": 8, ""atr_contraction"": 10, ""inside_bars"": 0, ""ma_convergence"": 10, ""obv_trend"": 0, ""kd_low_flat"": 0, ""close_above_midline"": 5, ""inst_consec"": 0, ""inst_net_trend"": 0, ""updown_volume"": 0, ""market_strength"": 0, ""proximity_resistance"": 0, ""prior_advance"": 0}",ACCUM_GATE_PASS|ACCUM_BB_PCT:13|ACCUM_VOL_RATIO:1.00|ACCUM_RANGE:6.8PCT|ACCUM_ATR_PCT:18|ACCUM_MA_GAP:1.1PCT|ACCUM_ABOVE_MIDLINE|ACCUM_VS_HIGH:-6.1PCT
