scan_date,analysis_date,ticker,name,market,industry,grade,score,vol_ratio,close_strength,day_chg_pct,gap_pct,surge_day,industry_rank_pct,rsi,inst_consec_days,close_price,score_breakdown,flags
2026-05-14,2026-05-14,6449,鈺邦,TSE,電子零組件業,SURGE_ALPHA,68,5.17,0.82,19.65,20.65,2,77.8,65.1,0,237.5,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 5}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SURGE:5.17x|CLOSE_STRONG:0.82|IND_WARM:78|POCKET_PIVOT|RS:+20.9%|BREAKOUT_20D:237.50>198.50|RSI_HEALTHY:65.1|MARGIN_COOL:10.7%|BB_SQUEEZE_BREAK:BB:0.160→0.384|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:84|IND_ACCEL
2026-05-14,2026-05-14,6831,邁科,TSE,電腦及週邊設備業,SURGE_ALPHA,67,3.01,0.8,19.17,17.09,1,55.6,67.0,0,746.0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 0, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 5}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:3.01x|CLOSE_STRONG:0.80|IND_COLD:56|POCKET_PIVOT|GAP_FULL:17.1%|RS:+20.4%|BREAKOUT_20D:746.00>650.00|RSI_HEALTHY:67.0|BB_SQUEEZE_BREAK:BB:0.334→0.550|MOMENTUM_WALK|IND_HEAT_HOT:91|IND_ACCEL
2026-05-14,2026-05-14,6451,訊芯-KY,TSE,半導體業,SURGE_ALPHA,60,4.98,0.94,14.35,6.02,2,88.9,47.9,0,522.0,"{""vol_ratio"": 10, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 0, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 3, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:4.98x|CLOSE_STRONG:0.94|IND_HOT:89|POCKET_PIVOT|GAP_FULL:6.0%|RS:+15.6%|RSI_WEAK:47.9|MARGIN_HOT:39.8%|MARGIN_DECLINING|BB_WIDE:0.357|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,8105,凌巨,TSE,光電業,SURGE_ALPHA,60,14.53,0.5,9.15,10.51,2,66.7,57.6,0,16.1,"{""vol_ratio"": 8, ""close_strength"": 2, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SURGE:14.53x|CLOSE_SOFT:0.50|IND_WARM:67|POCKET_PIVOT|RS:+10.4%|BREAKOUT_20D:16.10>14.80|RSI_HEALTHY:57.6|MARGIN_COOL:9.1%|BB_SQUEEZE_BREAK:BB:0.124→0.196|IND_ACCEL|INTL_TAIL:+2
2026-05-14,2026-05-14,6265,方土昶,TPEx,電子通路業,SURGE_ALPHA,57,3.44,0.73,2.68,-3.01,1,100.0,60.2,0,46.05,"{""vol_ratio"": 10, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 8, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 3}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:3.44x|CLOSE_HEALTHY:0.73|IND_HOT:100|POCKET_PIVOT|RS:+3.9%|RSI_HEALTHY:60.2|BB_SQUEEZE_BREAK:BB:0.175→0.283|MA5_WALK|MOMENTUM_WALK|IND_HEAT_HOT:100
2026-05-14,2026-05-14,8021,尖點,TSE,其他電子業,SURGE_ALPHA,57,2.36,1.0,4.03,3.92,2,33.3,61.2,0,490.5,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 0, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SOLID:2.36x|CLOSE_STRONG:1.00|IND_COLD:33|POCKET_PIVOT|GAP_FULL:3.9%|RS:+5.3%|BREAKOUT_20D:490.50>490.00|RSI_HEALTHY:61.2|MARGIN_HOT:33.1%|BB_WIDE:0.348|IND_HEAT_WARM:78|IND_ACCEL
2026-05-14,2026-05-14,8028,昇陽半導體,TSE,半導體業,SURGE_ALPHA,57,2.15,0.7,6.92,1.26,1,88.9,62.7,0,255.0,"{""vol_ratio"": 8, ""close_strength"": 5, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY1|VOL_SOLID:2.15x|CLOSE_HEALTHY:0.70|IND_HOT:89|POCKET_PIVOT|GAP_FULL:1.3%|RS:+8.2%|RSI_HEALTHY:62.7|MARGIN_HOT:24.4%|BB_WIDE:0.369|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,6208,日揚,TPEx,半導體業,SURGE_ALPHA,56,11.83,0.57,17.92,20.81,1,88.9,60.1,0,102.0,"{""vol_ratio"": 8, ""close_strength"": 2, ""inst_buy_fresh"": 0, ""industry_strength"": 10, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 7}",SURGE_GATE_PASS|SURGE_DAY1|VOL_SURGE:11.83x|CLOSE_SOFT:0.57|IND_HOT:89|POCKET_PIVOT|RS:+19.2%|BREAKOUT_20D:102.00>92.00|RSI_HEALTHY:60.1|BB_WIDE:0.349|IND_HEAT_HOT:97|IND_ACCEL|INTL_TAIL:+3
2026-05-14,2026-05-14,3236,千如,TPEx,電子零組件業,SURGE_ALPHA,55,11.41,0.44,15.13,14.0,2,77.8,55.2,0,40.7,"{""vol_ratio"": 8, ""close_strength"": 2, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 0, ""breakaway_gap"": 8, ""relative_strength"": 8, ""breakout_20d"": 10, ""rsi_healthy"": 5, ""margin_not_hot"": 0, ""inst_synergy"": 0, ""margin_declining"": 0, ""inst_cumulative_flow"": 3, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 4, ""ma5_walk"": 2, ""bb_upper_walk"": 0, ""market_heat"": 5}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SURGE:11.41x|CLOSE_SOFT:0.44|IND_WARM:78|GAP_FULL:14.0%|RS:+16.4%|BREAKOUT_20D:40.70>37.90|RSI_HEALTHY:55.2|FLOW_ACCEL:1.7x|BB_SQUEEZE_EXPAND:BB:0.244→0.332|MA5_WALK|IND_HEAT_HOT:84|IND_ACCEL
2026-05-14,2026-05-14,3008,大立光,TSE,光電業,SURGE_BETA,52,2.07,0.85,1.97,2.68,2,66.7,58.6,0,2850.0,"{""vol_ratio"": 8, ""close_strength"": 8, ""inst_buy_fresh"": 0, ""industry_strength"": 5, ""pocket_pivot"": 12, ""breakaway_gap"": 0, ""relative_strength"": 8, ""breakout_20d"": 0, ""rsi_healthy"": 5, ""margin_not_hot"": 4, ""inst_synergy"": 0, ""margin_declining"": 3, ""inst_cumulative_flow"": 0, ""ownership_concentration"": 0, ""daytrade_penalty"": 0, ""bb_squeeze"": 0, ""ma5_walk"": 0, ""bb_upper_walk"": 0, ""market_heat"": 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_SOLID:2.07x|CLOSE_STRONG:0.85|IND_WARM:67|POCKET_PIVOT|RS:+3.2%|RSI_HEALTHY:58.6|MARGIN_COOL:4.0%|MARGIN_DECLINING|BB_WIDE:0.168|IND_ACCEL|INTL_TAIL:+2
