signal_date,ticker,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,score_breakdown,flags,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
2026-04-21,7547,數位雲端,SURGE_BETA,44,1.97,9.96,2.28,1.0,34.3,77.30000305175781,"{'vol_ratio': 6, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.97x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:2.3%|RS:+8.2%|RSI_WEAK:34.3|BB_WIDE:0.296,0.26,-2.98,-4.14,-10.74,-11.0,-8.54,-10.74,-7.24,-4.4,-7.12,-3.49,,,,
2026-04-21,8048,通信網路業,SURGE_BETA,44,11.52,3.52,2.82,0.5,85.6,73.5,"{'vol_ratio': 2, 'close_strength': 2, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_HYPERCHASE:11.52x|CLOSE_SOFT:0.50|POCKET_PIVOT|GAP_PARTIAL:2.8%|RS:+1.8%|BREAKOUT_20D:73.50>71.00|RSI_HOT:85.6|BB_SQUEEZE_EXPAND:BB:0.217→0.395,-6.12,-8.84,-12.52,-15.92,-15.92,-15.37,-16.33,-15.1,-15.1,-16.73,-14.83,,,,
2026-04-21,8088,半導體業,SURGE_BETA,44,2.5,9.98,0.8,1.0,48.7,55.099998474121094,"{'vol_ratio': 10, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.50x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:0.8%|RS:+8.2%|RSI_WEAK:48.7|BB_WIDE:0.153,0.73,-6.72,-8.35,-5.63,-4.17,-7.08,-8.71,-7.44,-4.54,-1.63,0.0,,,,
2026-04-21,8431,其他電子業,SURGE_BETA,41,2.57,5.55,1.5,0.69,52.1,70.4000015258789,"{'vol_ratio': 10, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:2.57x|CLOSE_HEALTHY:0.69|POCKET_PIVOT|GAP_PARTIAL:1.5%|RS:+3.8%|RSI_WEAK:52.1|BB_WIDE:0.249,4.4,-2.98,-6.25,-10.51,-10.8,-8.38,-10.51,-10.65,-10.8,-11.93,-11.93,,,,
2026-04-22,2317,其他電子業,SURGE_ALPHA,61,2.73,4.74,0.95,0.77,68.1,221.0,"{'vol_ratio': 10, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 4}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.73x|CLOSE_HEALTHY:0.77|POCKET_PIVOT|GAP_PARTIAL:0.9%|RS:+4.0%|BREAKOUT_20D:221.00>213.00|RSI_HEALTHY:68.1|BB_SQUEEZE_EXPAND:BB:0.109→0.149,1.81,0.23,3.17,2.04,1.81,-0.68,2.94,8.37,14.03,14.71,,,,,
2026-04-22,2328,電子零組件業,SURGE_ALPHA,60,2.83,3.05,0.87,0.86,56.6,47.29999923706055,"{'vol_ratio': 10, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.83x|CLOSE_STRONG:0.86|POCKET_PIVOT|GAP_PARTIAL:0.9%|RS:+2.3%|BREAKOUT_20D:47.30>46.60|RSI_HEALTHY:56.6|BB_WIDE:0.078,-4.12,-6.13,-6.24,-2.96,-0.21,4.76,15.01,16.49,14.59,13.32,,,,,
2026-04-22,2377,電腦及週邊設備業,SURGE_ALPHA,64,2.49,3.94,0.64,1.0,62.9,97.5,"{'vol_ratio': 10, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:2.49x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:0.6%|RS:+3.2%|BREAKOUT_20D:97.50>94.40|RSI_HEALTHY:62.9|BB_SQUEEZE_EXPAND:BB:0.085→0.112,0.51,-2.46,-4.21,-0.1,2.56,0.21,-2.46,-1.85,2.56,3.59,,,,,
2026-04-22,3013,電腦及週邊設備業,SURGE_ALPHA,65,3.62,10.0,0.91,1.0,58.7,121.0,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.62x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:0.9%|RS:+9.3%|BREAKOUT_20D:121.00>115.00|RSI_HEALTHY:58.7|BB_SQUEEZE_BREAK:BB:0.106→0.235,-9.92,-7.02,-6.61,-7.85,-7.44,-13.64,-11.98,-10.33,-11.16,-13.22,,,,,
2026-04-22,3014,半導體業,SURGE_ALPHA,56,4.03,3.63,0.4,0.89,84.0,128.5,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 0, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.03x|CLOSE_STRONG:0.89|POCKET_PIVOT|RS:+2.9%|BREAKOUT_20D:128.50>124.50|RSI_HOT:84.0|BB_SQUEEZE_BREAK:BB:0.045→0.122,-3.89,-2.33,-3.11,-3.89,-3.5,-3.5,-1.17,1.95,3.11,2.33,,,,,
2026-04-22,3338,電子零組件業,SURGE_BETA,51,8.01,9.9,-0.99,1.0,73.5,77.69999694824219,"{'vol_ratio': 2, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 0, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY2|VOL_HYPERCHASE:8.01x|CLOSE_STRONG:1.00|POCKET_PIVOT|RS:+9.2%|BREAKOUT_20D:77.70>73.40|RSI_HOT:73.5|BB_SQUEEZE_BREAK:BB:0.143→0.298,9.91,4.5,1.03,-2.83,-1.42,-4.5,-4.38,-4.76,-3.6,-5.66,,,,,
2026-04-22,3515,電腦及週邊設備業,SURGE_BETA,49,2.08,1.76,0.22,0.54,65.0,231.0,"{'vol_ratio': 10, 'close_strength': 2, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 0, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.08x|CLOSE_SOFT:0.54|POCKET_PIVOT|RS:+1.0%|BREAKOUT_20D:231.00>228.50|RSI_HEALTHY:65.0|BB_WIDE:0.151,-2.16,-1.95,3.03,3.9,1.73,1.95,1.95,2.81,5.63,6.71,,,,,
